GraphName,Threads,Phases,TotalIterations,Clusters,Modularity,ClusteringTIme,CoarseningTime,TotalTime,Threshold
uk2002,48,6,40,5150,0.989425,27.0149,2.4665,29.4815,1e-06
333SP,48,11,399,439,0.985079,8.2456,1.97739,10.223,1e-06
AS365,48,10,69,174,0.981586,4.34737,1.21684,5.56421,1e-06
eu-2005,48,6,46,146,0.938091,3.28522,0.240382,3.5256,1e-06
in-2004,48,7,45,759,0.979114,2.29237,0.145848,2.43821,1e-06
M6,48,9,77,167,0.980524,4.11968,1.1599,5.27957,1e-06
NLR,48,10,83,172,0.981599,4.93588,2.07911,7.01499,1e-06
road_usa,48,11,66,1405,0.997919,11.8152,10.7463,22.5615,1e-06
af_shell10,48,11,633,54,0.955039,5.97711,0.133351,6.11046,1e-06
cnr-2000,48,7,55,174,0.912416,0.808753,0.0263762,0.83513,1e-06
G_n_pin_pout,48,8,54,65,0.286252,0.489446,0.170327,0.659773,1e-06
NACA0015,48,9,68,111,0.972657,1.1385,0.458505,1.59701,1e-06
road_central,48,11,66,1068,0.997203,8.09685,5.42017,13.517,1e-06
smallworld,48,7,44,210,0.792893,0.182844,0.044491,0.227335,1e-06
Amazon0505,48,7,69,155,0.888354,3.00555,0.116053,3.1216,1e-06
as-skitter,48,7,67,981,0.840681,12.7692,0.364788,13.134,1e-06
ca-HepPh,48,5,39,317,0.661849,0.0696068,0.0344663,0.104073,1e-06
ca-HepTh,48,6,40,469,0.760544,0.0265228,0.00259685,0.0291197,1e-06
cit-Patents,48,7,96,3676,0.802196,31.0993,3.72543,34.8247,1e-06
com-lj,48,7,155,1868,0.751514,97.3592,4.17831,101.537,1e-06
com-youtube,48,8,66,5230,0.719946,5.56648,0.668552,6.23503,1e-06
roadNet-CA,48,10,60,2973,0.991753,1.14917,0.992412,2.14158,1e-06
web-Google,48,6,54,3161,0.979416,3.39204,0.148278,3.54032,1e-06
com-orkut,48,5,125,37,0.671465,120.645,42.828,163.473,1e-06
soc-LiveJournal1,48,7,179,4756,0.758829,169.383,7.26396,176.647,1e-06
wiki-Talk,48,6,42,2683,0.558613,4.93376,0.746733,5.6805,1e-06
web-Stanford,48,9,49,733,0.936514,0.908966,0.0944799,1.00345,1e-06
uk2002,24,6,40,5150,0.989425,38.4125,1.64002,40.0525,1e-06
333SP,24,11,399,439,0.985079,11.2792,1.33446,12.6136,1e-06
AS365,24,10,69,174,0.981586,6.22723,0.80738,7.03461,1e-06
eu-2005,24,6,46,146,0.938091,3.91139,0.100801,4.01219,1e-06
in-2004,24,7,45,759,0.979114,2.72531,0.0888815,2.8142,1e-06
M6,24,9,77,167,0.980524,6.21022,0.824433,7.03465,1e-06
NLR,24,10,83,172,0.981599,7.33357,1.09547,8.42904,1e-06
road_usa,24,11,66,1405,0.997919,16.7357,7.21199,23.9477,1e-06
af_shell10,24,11,633,54,0.955039,8.77637,0.147379,8.92375,1e-06
cnr-2000,24,7,55,174,0.912416,0.988057,0.019517,1.00757,1e-06
G_n_pin_pout,24,8,54,65,0.286252,0.765739,0.139279,0.905018,1e-06
NACA0015,24,9,68,111,0.972657,1.63206,0.161748,1.79381,1e-06
road_central,24,11,66,1068,0.997203,11.6835,5.62739,17.3109,1e-06
smallworld,24,7,44,210,0.792893,0.289694,0.0383973,0.328092,1e-06
Amazon0505,24,7,69,155,0.888354,3.32614,0.215753,3.54189,1e-06
as-skitter,24,7,67,981,0.840681,15.4497,0.305199,15.7549,1e-06
ca-HepPh,24,5,39,317,0.661849,0.106885,0.0211781,0.128063,1e-06
ca-HepTh,24,6,40,469,0.760544,0.039078,0.00259789,0.0416759,1e-06
cit-Patents,24,7,96,3676,0.802196,43.6098,1.2346,44.8444,1e-06
com-lj,24,7,155,1868,0.751514,135.038,2.57326,137.612,1e-06
com-youtube,24,8,66,5230,0.719946,6.7254,0.33855,7.06395,1e-06
roadNet-CA,24,10,60,2973,0.991753,1.67019,0.535723,2.20591,1e-06
web-Google,24,6,54,3161,0.979416,4.06511,0.233209,4.29832,1e-06
com-orkut,24,5,125,37,0.671465,185.793,17.1192,202.913,1e-06
soc-LiveJournal1,24,7,179,4756,0.758829,244.698,7.18373,251.882,1e-06
wiki-Talk,24,6,42,2683,0.558613,6.77591,0.724857,7.50077,1e-06
web-Stanford,24,9,49,733,0.936514,1.05801,0.0759691,1.13398,1e-06
