GraphName,Threads,Phases,TotalIterations,Clusters,Modularity,ClusteringTIme,CoarseningTime,TotalTime,Threshold
uk2002,48,9,187,3770,0.98933,53.8965,2.51035,56.4069,1e-06
333SP,48,17,395,185,0.985133,12.871,1.78318,14.6542,1e-06
AS365,48,9,209,157,0.981742,11.2849,1.12605,12.411,1e-06
eu-2005,48,201,500,163,0.937895,4.86743,0.337931,5.20536,1e-06
in-2004,48,201,546,760,0.979096,4.20364,0.321343,4.52498,1e-06
M6,48,201,572,146,0.980602,10.8829,1.67014,12.5531,1e-06
NLR,48,201,570,173,0.981518,12.6291,1.52688,14.156,1e-06
road_usa,48,201,642,1398,0.997917,57.8466,10.3902,68.2368,1e-06
af_shell10,48,201,971,51,0.953387,9.90453,0.816097,10.7206,1e-06
cnr-2000,48,201,522,183,0.912364,0.983738,0.0713388,1.05508,1e-06
G_n_pin_pout,48,201,524,65,0.284861,1.28462,0.278153,1.56278,1e-06
NACA0015,48,201,570,105,0.972334,3.05959,0.474679,3.53427,1e-06
road_central,48,11,261,1043,0.997204,39.8707,5.87716,45.7479,1e-06
smallworld,48,201,522,226,0.792753,0.824049,0.642054,1.4661,1e-06
Amazon0505,48,201,522,155,0.888728,2.78863,0.258796,3.04743,1e-06
as-skitter,48,201,522,945,0.841877,10.6108,0.668338,11.2792,1e-06
ca-HepPh,48,201,498,312,0.661433,0.153098,0.0473869,0.200485,1e-06
ca-HepTh,48,201,522,465,0.759622,0.155392,0.0371035,0.192495,1e-06
cit-Patents,48,7,134,3683,0.801719,21.8068,3.24938,25.0561,1e-06
com-lj,48,6,131,1615,0.750855,40.2183,2.89576,43.114,1e-06
com-youtube,48,201,570,5076,0.720525,8.21329,0.778445,8.99173,1e-06
roadNet-CA,48,201,618,2965,0.991814,5.87354,1.10237,6.97592,1e-06
web-Google,48,201,522,3163,0.979425,4.37107,0.584691,4.95576,1e-06
com-orkut,48,201,475,33,0.660993,56.3463,43.4669,99.8132,1e-06
soc-LiveJournal1,48,6,109,3760,0.752682,56.4933,9.09316,65.5865,1e-06
wiki-Talk,48,201,498,2671,0.557346,18.7148,0.910874,19.6257,1e-06
web-Stanford,48,201,570,743,0.936612,1.91661,0.136071,2.05269,1e-06
uk2002,24,9,187,3770,0.98933,78.3305,2.12732,80.4578,1e-06
333SP,24,17,395,185,0.985133,16.7738,0.726465,17.5003,1e-06
AS365,24,9,209,157,0.981742,15.2997,0.611952,15.9116,1e-06
eu-2005,24,201,500,163,0.937895,6.02278,0.15696,6.17974,1e-06
in-2004,24,201,546,760,0.979096,4.72572,0.166096,4.89182,1e-06
M6,24,201,572,146,0.980602,14.6695,0.598632,15.2682,1e-06
NLR,24,201,570,173,0.981518,18.7002,0.993506,19.6937,1e-06
road_usa,24,201,642,1398,0.997917,84.5196,7.88183,92.4014,1e-06
af_shell10,24,201,971,51,0.953387,13.7605,0.920466,14.681,1e-06
cnr-2000,24,201,522,183,0.912364,1.29803,0.0591528,1.35718,1e-06
G_n_pin_pout,24,201,524,65,0.284861,1.91084,0.264206,2.17504,1e-06
NACA0015,24,201,570,105,0.972334,4.16009,0.202992,4.36308,1e-06
road_central,24,11,261,1043,0.997204,57.9567,4.18484,62.1415,1e-06
smallworld,24,201,522,226,0.792753,1.27694,0.712886,1.98983,1e-06
Amazon0505,24,201,522,155,0.888728,2.90009,0.316942,3.21703,1e-06
as-skitter,24,201,522,945,0.841877,13.0108,0.3713,13.3821,1e-06
ca-HepPh,24,201,498,312,0.661433,0.192412,0.0292782,0.22169,1e-06
ca-HepTh,24,201,522,465,0.759622,0.132918,0.0260191,0.158937,1e-06
cit-Patents,24,7,134,3683,0.801719,31.0214,1.26278,32.2842,1e-06
com-lj,24,6,131,1615,0.750855,56.507,2.18256,58.6895,1e-06
com-youtube,24,201,570,5076,0.720525,9.18435,0.704699,9.88905,1e-06
roadNet-CA,24,201,618,2965,0.991814,7.40513,0.582624,7.98775,1e-06
web-Google,24,201,522,3163,0.979425,5.40955,0.2801,5.68965,1e-06
com-orkut,24,201,475,33,0.660993,87.5086,19.256,106.765,1e-06
soc-LiveJournal1,24,6,109,3760,0.752682,82.6219,7.88802,90.5099,1e-06
wiki-Talk,24,201,498,2671,0.557346,23.2469,0.868974,24.1158,1e-06
web-Stanford,24,201,570,743,0.936612,2.09082,0.109802,2.20062,1e-06
cage15,48,201,525,46,0.887559,29.9629,1.74946,31.7123,1e-06
cage15,24,201,525,46,0.887559,42.453,1.3534,43.8064,1e-06
